contcod;country;region;bin_year;group;pop;RRinc;totpop
AGO;Angola;Sub-Saharan Africa;1993;1;1.137175;174;11.37175
AGO;Angola;Sub-Saharan Africa;1993;2;1.137175;287;11.37175
AGO;Angola;Sub-Saharan Africa;1993;3;1.137175;373;11.37175
AGO;Angola;Sub-Saharan Africa;1993;4;1.137175;450;11.37175
AGO;Angola;Sub-Saharan Africa;1993;5;1.137175;538;11.37175
AGO;Angola;Sub-Saharan Africa;1993;6;1.137175;653;11.37175
AGO;Angola;Sub-Saharan Africa;1993;7;1.137175;785;11.37175
AGO;Angola;Sub-Saharan Africa;1993;8;1.137175;967;11.37175
AGO;Angola;Sub-Saharan Africa;1993;9;1.137175;1303;11.37175
AGO;Angola;Sub-Saharan Africa;1993;10;1.137175;2528;11.37175
AGO;Angola;Sub-Saharan Africa;1998;1;1.3138265;45;13.138265
AGO;Angola;Sub-Saharan Africa;1998;2;1.3138265;106;13.138265
AGO;Angola;Sub-Saharan Africa;1998;3;1.3138265;174;13.138265
AGO;Angola;Sub-Saharan Africa;1998;4;1.3138265;254;13.138265
AGO;Angola;Sub-Saharan Africa;1998;5;1.3138265;348;13.138265
AGO;Angola;Sub-Saharan Africa;1998;6;1.3138265;467;13.138265
AGO;Angola;Sub-Saharan Africa;1998;7;1.3138265;625;13.138265
AGO;Angola;Sub-Saharan Africa;1998;8;1.3138265;862;13.138265
AGO;Angola;Sub-Saharan Africa;1998;9;1.3138265;1293;13.138265
AGO;Angola;Sub-Saharan Africa;1998;10;1.3138265;3378;13.138265
ALB;Albania;Russia, C. Asia, SE Europe;1998;1;0.3079037;687;3.079037
ALB;Albania;Russia, C. Asia, SE Europe;1998;2;0.3079037;897;3.079037
ALB;Albania;Russia, C. Asia, SE Europe;1998;3;0.3079037;1090;3.079037
ALB;Albania;Russia, C. Asia, SE Europe;1998;4;0.3079037;1275;3.079037
ALB;Albania;Russia, C. Asia, SE Europe;1998;5;0.3079037;1466;3.079037
ALB;Albania;Russia, C. Asia, SE Europe;1998;6;0.3079037;1677;3.079037
ALB;Albania;Russia, C. Asia, SE Europe;1998;7;0.3079037;1926;3.079037
ALB;Albania;Russia, C. Asia, SE Europe;1998;8;0.3079037;2255;3.079037
ALB;Albania;Russia, C. Asia, SE Europe;1998;9;0.3079037;2769;3.079037
ALB;Albania;Russia, C. Asia, SE Europe;1998;10;0.3079037;4126;3.079037
ALB;Albania;Russia, C. Asia, SE Europe;2003;1;0.3106701;644;3.106701
ALB;Albania;Russia, C. Asia, SE Europe;2003;2;0.3106701;838;3.106701
ALB;Albania;Russia, C. Asia, SE Europe;2003;3;0.3106701;1011;3.106701
ALB;Albania;Russia, C. Asia, SE Europe;2003;4;0.3106701;1171;3.106701
ALB;Albania;Russia, C. Asia, SE Europe;2003;5;0.3106701;1332;3.106701
ALB;Albania;Russia, C. Asia, SE Europe;2003;6;0.3106701;1508;3.106701
ALB;Albania;Russia, C. Asia, SE Europe;2003;7;0.3106701;1715;3.106701
ALB;Albania;Russia, C. Asia, SE Europe;2003;8;0.3106701;1986;3.106701
ALB;Albania;Russia, C. Asia, SE Europe;2003;9;0.3106701;2418;3.106701
ALB;Albania;Russia, C. Asia, SE Europe;2003;10;0.3106701;3681;3.106701
ALB;Albania;Russia, C. Asia, SE Europe;2008;1;0.3181397;736;3.181397
ALB;Albania;Russia, C. Asia, SE Europe;2008;2;0.3181397;962;3.181397
ALB;Albania;Russia, C. Asia, SE Europe;2008;3;0.3181397;1162;3.181397
ALB;Albania;Russia, C. Asia, SE Europe;2008;4;0.3181397;1352;3.181397
ALB;Albania;Russia, C. Asia, SE Europe;2008;5;0.3181397;1548;3.181397
ALB;Albania;Russia, C. Asia, SE Europe;2008;6;0.3181397;1759;3.181397
ALB;Albania;Russia, C. Asia, SE Europe;2008;7;0.3181397;2013;3.181397
ALB;Albania;Russia, C. Asia, SE Europe;2008;8;0.3181397;2355;3.181397
ALB;Albania;Russia, C. Asia, SE Europe;2008;9;0.3181397;2927;3.181397
ALB;Albania;Russia, C. Asia, SE Europe;2008;10;0.3181397;6048;3.181397
ARG;Argentina;L. America & Carib.;1988;1;3.172913;1107;31.72913
ARG;Argentina;L. America & Carib.;1988;2;3.172913;1842;31.72913
ARG;Argentina;L. America & Carib.;1988;3;3.172913;2565;31.72913
ARG;Argentina;L. America & Carib.;1988;4;3.172913;3307;31.72913
ARG;Argentina;L. America & Carib.;1988;5;3.172913;4094;31.72913
ARG;Argentina;L. America & Carib.;1988;6;3.172913;4996;31.72913
ARG;Argentina;L. America & Carib.;1988;7;3.172913;6116;31.72913
ARG;Argentina;L. America & Carib.;1988;8;3.172913;7645;31.72913
ARG;Argentina;L. America & Carib.;1988;9;3.172913;10280;31.72913
ARG;Argentina;L. America & Carib.;1988;10;3.172913;22020;31.72913
ARG;Argentina;L. America & Carib.;1993;1;3.3982036;741;33.982036
ARG;Argentina;L. America & Carib.;1993;2;3.3982036;1414;33.982036
ARG;Argentina;L. America & Carib.;1993;3;3.3982036;2063;33.982036
ARG;Argentina;L. America & Carib.;1993;4;3.3982036;2475;33.982036
ARG;Argentina;L. America & Carib.;1993;5;3.3982036;3128;33.982036
ARG;Argentina;L. America & Carib.;1993;6;3.3982036;3874;33.982036
ARG;Argentina;L. America & Carib.;1993;7;3.3982036;4606;33.982036
ARG;Argentina;L. America & Carib.;1993;8;3.3982036;5952;33.982036
ARG;Argentina;L. America & Carib.;1993;9;3.3982036;8146;33.982036
ARG;Argentina;L. America & Carib.;1993;10;3.3982036;16030;33.982036
ARG;Argentina;L. America & Carib.;1998;1;3.613464;485;36.13464
ARG;Argentina;L. America & Carib.;1998;2;3.613464;1079;36.13464
ARG;Argentina;L. America & Carib.;1998;3;3.613464;1523;36.13464
ARG;Argentina;L. America & Carib.;1998;4;3.613464;1994;36.13464
ARG;Argentina;L. America & Carib.;1998;5;3.613464;2552;36.13464
ARG;Argentina;L. America & Carib.;1998;6;3.613464;3209;36.13464
ARG;Argentina;L. America & Carib.;1998;7;3.613464;4378;36.13464
ARG;Argentina;L. America & Carib.;1998;8;3.613464;5139;36.13464
ARG;Argentina;L. America & Carib.;1998;9;3.613464;7818;36.13464
ARG;Argentina;L. America & Carib.;1998;10;3.613464;17145;36.13464
ARG;Argentina;L. America & Carib.;2003;1;3.8001251;248;38.001251
ARG;Argentina;L. America & Carib.;2003;2;3.8001251;621;38.001251
ARG;Argentina;L. America & Carib.;2003;3;3.8001251;953;38.001251
ARG;Argentina;L. America & Carib.;2003;4;3.8001251;1271;38.001251
ARG;Argentina;L. America & Carib.;2003;5;3.8001251;1648;38.001251
ARG;Argentina;L. America & Carib.;2003;6;3.8001251;2124;38.001251
ARG;Argentina;L. America & Carib.;2003;7;3.8001251;2762;38.001251
ARG;Argentina;L. America & Carib.;2003;8;3.8001251;3814;38.001251
ARG;Argentina;L. America & Carib.;2003;9;3.8001251;5372;38.001251
ARG;Argentina;L. America & Carib.;2003;10;3.8001251;13374;38.001251
ARG;Argentina;L. America & Carib.;2008;1;3.9714298;861;39.714298
ARG;Argentina;L. America & Carib.;2008;2;3.9714298;1683;39.714298
ARG;Argentina;L. America & Carib.;2008;3;3.9714298;2479;39.714298
