Country,Bin_Year,Rrinc_min,Rrinc_max
Albania,1998,687,4126
Albania,2003,644,3681
Albania,2008,736,6048
Algeria,1988,387,4941
Algeria,1993,414,3876
Angola,1993,174,2528
Angola,1998,45,3378
Argentina,1988,1107,22020
Argentina,1993,741,16030
Argentina,1998,485,17145
Argentina,2003,248,13374
Argentina,2008,861,21743
Armenia,1998,298,2825
Armenia,2003,368,2918
Armenia,2008,569,3867
Australia,1988,2890,28953
Australia,1993,1792,27652
Australia,1998,3422,30794
Australia,2003,3017,31786
Austria,1988,6137,27312
Austria,1993,4249,35860
Austria,1998,4876,34065
Austria,2003,5794,38755
Austria,2008,5535,33355
Azerbaijan,1993,288,2830
Azerbaijan,2003,434,3996
Azerbaijan,2008,828,6604
Bangladesh,1988,185,1091
Bangladesh,1993,197,1413
Bangladesh,1998,203,1460
Bangladesh,2003,231,1629
Bangladesh,2008,247,1676
Barbados,1998,3478,46432
Belarus,1988,1637,7030
Belarus,1993,1194,4757
Belarus,1998,730,5228
Belarus,2003,1107,6660
Belgium,1988,3753,20652
Belgium,1993,4307,28315
Belgium,1998,4990,41538
Belgium,2003,5016,34750
Belgium,2008,4546,30173
Belize,1993,242,14772
Belize,1998,253,9964
Benin,2003,190,1978
Bhutan,2003,263,4294
Bhutan,2008,381,3998
Bolivia,1988,461,6312
Bolivia,1993,302,10453
Bolivia,1998,121,11645
Bolivia,2003,62,10365
Bolivia,2008,116,11131
Bosnia and Herzegovina,2003,1607,9660
Bosnia and Herzegovina,2008,1543,15518
Botswana,1993,196,7845
Brazil,1988,196,15081
Brazil,1993,143,12854
Brazil,1998,204,17473
Brazil,2003,192,15627
Brazil,2008,346,18498
Bulgaria,1988,2829,12424
Bulgaria,1993,1572,7516
Bulgaria,1998,842,4244
Bulgaria,2003,856,5879
Bulgaria,2008,1077,7280
Burkina Faso,1993,110,2061
Burkina Faso,1998,121,1994
Burkina Faso,2003,169,1823
Burkina Faso,2008,193,2167
Burundi,1993,107,831
Burundi,1998,53,959
Burundi,2008,144,974
Cambodia,1993,249,2238
Cambodia,1998,172,2082
Cambodia,2003,247,2806
Cambodia,2008,313,2939
Cameroon,1998,278,3216
Cameroon,2003,368,4349
Cameroon,2008,403,4207
Canada,1988,3832,34682
Canada,1993,4059,34982
Canada,1998,4047,38148
Canada,2003,4195,42439
Canada,2008,4005,56054
Cape Verde,2003,274,5915
Central African Republic,1993,21,1418
Central African Republic,2003,105,1656
Central African Republic,2008,75,2839
Chad,2003,129,1524
Chile,1988,344,13336
Chile,1993,531,16841
Chile,1998,609,21895
Chile,2003,677,22215
Chile,2008,906,25336
China,1988,448,2553
China,1993,501,3271
China,1998,602,4653
China,2003,703,6215
China,2008,1001,9776
Colombia,1988,340,11476
Colombia,1993,339,11591
Colombia,1998,86,11457
Colombia,2003,68,9199
Colombia,2008,196,13660
Comoros,1993,118,2750
Comoros,2003,103,6252
Congo, Dem. Rep.,2003,60,905
Congo, Dem. Rep.,2008,38,620
Congo, Rep.,2003,135,2404
Costa Rica,1988,147,8095
Costa Rica,1993,292,9747
Costa Rica,1998,480,11899
Costa Rica,2003,377,14225
Costa Rica,2008,645,17163
Cote d'Ivoire,1988,336,3386
Cote d'Ivoire,1993,313,3026
Cote d'Ivoire,1998,246,3736
Cote d'Ivoire,2003,238,4799
Cote d'Ivoire,2008,235,3339
Croatia,1998,2438,13277
Croatia,2003,3179,19951
Croatia,2008,3064,25285
Cyprus,1988,2225,15540
Cyprus,1998,1992,15123
Cyprus,2008,3325,19728
Czech Republic,1988,3113,10449
Czech Republic,1993,2386,12153
Czech Republic,1998,2568,13488
Czech Republic,2003,2544,14860
Czech Republic,2008,2663,14478
Denmark,1988,4024,27387
Denmark,1993,4119,25347
Denmark,1998,3245,26359
Denmark,2003,5674,29650
Denmark,2008,5633,31321
Djibouti,2003,272,3468
Dominican Republic,1988,233,6091
Dominican Republic,1993,440,11462
Dominican Republic,1998,434,12537
Dominican Republic,2003,376,11793
Dominican Republic,2008,507,11587
Ecuador,1988,235,8778
Ecuador,1993,164,9385
Ecuador,1998,147,7683
Ecuador,2003,217,10712
Ecuador,2008,348,11996
Egypt, Arab Rep.,1988,466,3236
Egypt, Arab Rep.,1993,491,3057
Egypt, Arab Rep.,1998,522,3815
Egypt, Arab Rep.,2003,520,3729
Egypt, Arab Rep.,2008,542,3637
El Salvador,1988,87,7257
El Salvador,1993,259,9036
El Salvador,1998,90,9556
El Salvador,2003,138,8911
El Salvador,2008,407,9208
Estonia,1988,2188,9591
Estonia,1993,822,10305
Estonia,1998,1052,9598
Estonia,2008,1939,14287
Ethiopia,1993,162,1842
Ethiopia,1998,198,1303
Ethiopia,2003,250,1581
Fiji,2003,166,3791
Fiji,2008,447,5900
Finland,1988,4095,17806
Finland,1993,4667,20764
Finland,1998,4408,24764
Finland,2003,4972,29930
Finland,2008,4874,29462
France,1988,2437,26635
France,1993,3819,34649
France,1998,4018,30410
France,2003,4635,36281
France,2008,5138,43111
Gabon,2003,465,5940
Gambia, The,1993,37,925
Gambia, The,1998,82,1928
Gambia, The,2003,192,3630
Georgia,1998,364,4604
Georgia,2003,256,3698
Georgia,2008,271,4248
Germany,1988,5114,31358
Germany,1993,4288,31593
Germany,1998,3857,31690
Germany,2003,5370,41090
Germany,2008,5086,38001
Ghana,1988,166,1626
Ghana,1993,163,1752
Ghana,1998,168,2261
Ghana,2003,195,3154
Greece,1988,2634,23636
Greece,1993,2903,24721
Greece,1998,2055,21710
Greece,2003,2361,24898
Greece,2008,2645,24353
Guatemala,1988,82,5626
Guatemala,1998,215,9458
Guatemala,2003,97,8173
Guatemala,2008,254,10778
Guinea,1993,109,1709
Guinea,2003,142,1793
Guinea,2008,181,2068
Guinea-Bissau,1993,142,2640
Guinea-Bissau,2003,177,1633
Guyana,1993,400,10755
Guyana,1998,288,7343
Haiti,2003,44,3177
Honduras,1988,119,5501
Honduras,1993,177,6293
Honduras,1998,90,7584
Honduras,2003,116,8252
Honduras,2008,63,11948
Hong Kong SAR, China,1993,2271,46379
Hong Kong SAR, China,1998,2153,38249
Hungary,1988,1243,5806
Hungary,1993,1711,10095
Hungary,1998,1581,8583
Hungary,2003,1635,13364
Hungary,2008,1761,10733
Iceland,2003,5119,31407
Iceland,2008,9482,59348
India,1988,413,3092
India,1993,449,3117
India,1998,459,3551
India,2003,480,3846
India,2008,533,4492
Indonesia,1988,345,2243
Indonesia,1993,429,2831
Indonesia,1998,464,3081
Indonesia,2003,597,3866
Indonesia,2008,614,4720
Iran, Islamic Rep.,1988,500,8150
Iran, Islamic Rep.,1993,625,9332
Iran, Islamic Rep.,1998,626,10201
Iran, Islamic Rep.,2003,621,7028
Iraq,2008,497,3311
Ireland,1988,1189,15603
Ireland,1993,1585,14896
Ireland,1998,2453,34684
Ireland,2003,4310,34773
